Sun Dec 29 01:06:49 CET 2013: 98: finished (24698ms, 250cycles)
Sun Dec 29 01:06:49 CET 2013: 98: No solution found.
Sun Dec 29 01:07:11 CET 2013: 99: finished (21144ms, 250cycles)
Sun Dec 29 01:07:11 CET 2013: 99: No solution found.
Sun Dec 29 01:07:11 CET 2013: Solution Found: 17
Sun Dec 29 01:07:11 CET 2013: Avg cycles: 69
Sun Dec 29 01:07:11 CET 2013: Max cycles: 142
Sun Dec 29 01:07:11 CET 2013: Min cycles: 25
Sun Dec 29 01:07:11 CET 2013: No solution found: 83
Sun Dec 29 01:07:11 CET 2013: logging finished. (runtime: 2158515ms)
