Fri Dec 27 23:57:03 CET 2013: 81: No solution found.
Fri Dec 27 23:57:16 CET 2013: 82: finished (13927ms, 1000cycles)
Fri Dec 27 23:57:16 CET 2013: 82: No solution found.
Fri Dec 27 23:57:31 CET 2013: 83: finished (14894ms, 1000cycles)
Fri Dec 27 23:57:31 CET 2013: 83: No solution found.
Fri Dec 27 23:57:33 CET 2013: 84: finished (1550ms, 96cycles)
Fri Dec 27 23:57:33 CET 2013: 84: Solution found.
Fri Dec 27 23:57:47 CET 2013: 85: finished (14065ms, 1000cycles)
Fri Dec 27 23:57:47 CET 2013: 85: No solution found.
Fri Dec 27 23:58:03 CET 2013: 86: finished (15666ms, 1000cycles)
Fri Dec 27 23:58:03 CET 2013: 86: No solution found.
Fri Dec 27 23:58:17 CET 2013: 87: finished (14014ms, 1000cycles)
Fri Dec 27 23:58:17 CET 2013: 87: No solution found.
Fri Dec 27 23:58:30 CET 2013: 88: finished (13627ms, 1000cycles)
Fri Dec 27 23:58:30 CET 2013: 88: No solution found.
Fri Dec 27 23:58:45 CET 2013: 89: finished (15087ms, 1000cycles)
Fri Dec 27 23:58:45 CET 2013: 89: No solution found.
Fri Dec 27 23:58:47 CET 2013: 90: finished (1449ms, 94cycles)
Fri Dec 27 23:58:47 CET 2013: 90: Solution found.
Fri Dec 27 23:59:01 CET 2013: 91: finished (13692ms, 1000cycles)
Fri Dec 27 23:59:01 CET 2013: 91: No solution found.
Fri Dec 27 23:59:14 CET 2013: 92: finished (13951ms, 1000cycles)
Fri Dec 27 23:59:14 CET 2013: 92: No solution found.
Fri Dec 27 23:59:28 CET 2013: 93: finished (13523ms, 1000cycles)
Fri Dec 27 23:59:28 CET 2013: 93: No solution found.
Fri Dec 27 23:59:43 CET 2013: 94: finished (14780ms, 1000cycles)
Fri Dec 27 23:59:43 CET 2013: 94: No solution found.
Fri Dec 27 23:59:57 CET 2013: 95: finished (14556ms, 1000cycles)
Fri Dec 27 23:59:57 CET 2013: 95: No solution found.
Sat Dec 28 00:00:10 CET 2013: 96: finished (13105ms, 1000cycles)
Sat Dec 28 00:00:10 CET 2013: 96: No solution found.
Sat Dec 28 00:00:24 CET 2013: 97: finished (13362ms, 1000cycles)
Sat Dec 28 00:00:24 CET 2013: 97: No solution found.
Sat Dec 28 00:00:25 CET 2013: 98: finished (749ms, 48cycles)
Sat Dec 28 00:00:25 CET 2013: 98: Solution found.
Sat Dec 28 00:00:39 CET 2013: 99: finished (14699ms, 1000cycles)
Sat Dec 28 00:00:39 CET 2013: 99: No solution found.
Sat Dec 28 00:00:39 CET 2013: Solution Found: 11
Fri Dec 27 17:22:07 CET 2013: Avg cycles: 149
Sat Dec 28 00:00:39 CET 2013: Max cycles: 371
Sat Dec 28 00:00:39 CET 2013: Min cycles: 36
Sat Dec 28 00:00:39 CET 2013: No solution found: 89
Sat Dec 28 00:00:39 CET 2013: logging finished. (runtime: 1320696ms)
