Mon Dec 30 16:32:21 CET 2013: 71: finished (75ms, 49cycles)
Mon Dec 30 16:32:21 CET 2013: 71: Solution found.
Mon Dec 30 16:32:22 CET 2013: 72: finished (54ms, 38cycles)
Mon Dec 30 16:32:22 CET 2013: 72: Solution found.
Mon Dec 30 16:32:23 CET 2013: 73: finished (1376ms, 500cycles)
Mon Dec 30 16:32:23 CET 2013: 73: No solution found.
Mon Dec 30 16:32:24 CET 2013: 74: finished (604ms, 500cycles)
Mon Dec 30 16:32:24 CET 2013: 74: No solution found.
Mon Dec 30 16:32:24 CET 2013: 75: finished (519ms, 370cycles)
Mon Dec 30 16:32:24 CET 2013: 75: Solution found.
Mon Dec 30 16:32:24 CET 2013: 76: finished (233ms, 101cycles)
Mon Dec 30 16:32:24 CET 2013: 76: Solution found.
Mon Dec 30 16:32:25 CET 2013: 77: finished (652ms, 500cycles)
Mon Dec 30 16:32:25 CET 2013: 77: No solution found.
Mon Dec 30 16:32:26 CET 2013: 78: finished (802ms, 500cycles)
Mon Dec 30 16:32:26 CET 2013: 78: No solution found.
Mon Dec 30 16:32:27 CET 2013: 79: finished (1314ms, 500cycles)
Mon Dec 30 16:32:27 CET 2013: 79: No solution found.
Mon Dec 30 16:32:28 CET 2013: 80: finished (610ms, 500cycles)
Mon Dec 30 16:32:28 CET 2013: 80: No solution found.
Mon Dec 30 16:32:29 CET 2013: 81: finished (1405ms, 500cycles)
Mon Dec 30 16:32:29 CET 2013: 81: No solution found.
Mon Dec 30 16:32:30 CET 2013: 82: finished (809ms, 500cycles)
Mon Dec 30 16:32:30 CET 2013: 82: No solution found.
Mon Dec 30 16:32:30 CET 2013: 83: finished (596ms, 500cycles)
Mon Dec 30 16:32:30 CET 2013: 83: No solution found.
Mon Dec 30 16:32:32 CET 2013: 84: finished (1177ms, 500cycles)
Mon Dec 30 16:32:32 CET 2013: 84: No solution found.
Mon Dec 30 16:32:32 CET 2013: 85: finished (713ms, 500cycles)
Mon Dec 30 16:32:32 CET 2013: 85: No solution found.
Mon Dec 30 16:32:33 CET 2013: 86: finished (664ms, 500cycles)
Mon Dec 30 16:32:33 CET 2013: 86: No solution found.
Mon Dec 30 16:32:33 CET 2013: 87: finished (441ms, 164cycles)
Mon Dec 30 16:32:33 CET 2013: 87: Solution found.
Mon Dec 30 16:32:34 CET 2013: 88: finished (796ms, 500cycles)
Mon Dec 30 16:32:34 CET 2013: 88: No solution found.
Mon Dec 30 16:32:36 CET 2013: 89: finished (1322ms, 500cycles)
Mon Dec 30 16:32:36 CET 2013: 89: No solution found.
Mon Dec 30 16:32:36 CET 2013: 90: finished (627ms, 500cycles)
Mon Dec 30 16:32:36 CET 2013: 90: No solution found.
Mon Dec 30 16:32:37 CET 2013: 91: finished (627ms, 500cycles)
Mon Dec 30 16:32:37 CET 2013: 91: No solution found.
Mon Dec 30 16:32:38 CET 2013: 92: finished (978ms, 500cycles)
Mon Dec 30 16:32:38 CET 2013: 92: No solution found.
Mon Dec 30 16:32:39 CET 2013: 93: finished (1305ms, 500cycles)
Mon Dec 30 16:32:39 CET 2013: 93: No solution found.
Mon Dec 30 16:32:40 CET 2013: 94: finished (659ms, 500cycles)
Mon Dec 30 16:32:40 CET 2013: 94: No solution found.
Mon Dec 30 16:32:41 CET 2013: 95: finished (1385ms, 500cycles)
Mon Dec 30 16:32:41 CET 2013: 95: No solution found.
Mon Dec 30 16:32:42 CET 2013: 96: finished (631ms, 500cycles)
Mon Dec 30 16:32:42 CET 2013: 96: No solution found.
Mon Dec 30 16:32:42 CET 2013: 97: finished (676ms, 500cycles)
Mon Dec 30 16:32:42 CET 2013: 97: No solution found.
Mon Dec 30 16:32:43 CET 2013: 98: finished (573ms, 500cycles)
Mon Dec 30 16:32:43 CET 2013: 98: No solution found.
Mon Dec 30 16:32:44 CET 2013: 99: finished (1129ms, 500cycles)
Mon Dec 30 16:32:44 CET 2013: 99: No solution found.
Mon Dec 30 16:32:44 CET 2013: Solution Found: 14
Mon Dec 30 16:32:44 CET 2013: Avg cycles: 192
Mon Dec 30 16:32:44 CET 2013: Max cycles: 477
Mon Dec 30 16:32:44 CET 2013: Min cycles: 36
Mon Dec 30 16:32:44 CET 2013: No solution found: 86
Mon Dec 30 16:32:44 CET 2013: logging finished. (runtime: 88631ms)
