Sat Dec 28 17:08:32 CET 2013: 79: No solution found.
Sat Dec 28 17:08:36 CET 2013: 80: finished (3810ms, 500cycles)
Sat Dec 28 17:08:36 CET 2013: 80: No solution found.
Sat Dec 28 17:08:41 CET 2013: 81: finished (4907ms, 500cycles)
Sat Dec 28 17:08:41 CET 2013: 81: No solution found.
Sat Dec 28 17:08:41 CET 2013: 82: finished (498ms, 60cycles)
Sat Dec 28 17:08:41 CET 2013: 82: Solution found.
Sat Dec 28 17:08:42 CET 2013: 83: finished (587ms, 72cycles)
Sat Dec 28 17:08:42 CET 2013: 83: Solution found.
Sat Dec 28 17:08:46 CET 2013: 84: finished (3954ms, 500cycles)
Sat Dec 28 17:08:46 CET 2013: 84: No solution found.
Sat Dec 28 17:08:47 CET 2013: 85: finished (834ms, 97cycles)
Sat Dec 28 17:08:47 CET 2013: 85: Solution found.
Sat Dec 28 17:08:51 CET 2013: 86: finished (4032ms, 500cycles)
Sat Dec 28 17:08:51 CET 2013: 86: No solution found.
Sat Dec 28 17:08:55 CET 2013: 87: finished (3882ms, 500cycles)
Sat Dec 28 17:08:55 CET 2013: 87: No solution found.
Sat Dec 28 17:08:59 CET 2013: 88: finished (4046ms, 500cycles)
Sat Dec 28 17:08:59 CET 2013: 88: No solution found.
Sat Dec 28 17:09:03 CET 2013: 89: finished (4009ms, 500cycles)
Sat Dec 28 17:09:03 CET 2013: 89: No solution found.
Sat Dec 28 17:09:07 CET 2013: 90: finished (3920ms, 500cycles)
Sat Dec 28 17:09:07 CET 2013: 90: No solution found.
Sat Dec 28 17:09:11 CET 2013: 91: finished (4116ms, 500cycles)
Sat Dec 28 17:09:11 CET 2013: 91: No solution found.
Sat Dec 28 17:09:15 CET 2013: 92: finished (3890ms, 500cycles)
Sat Dec 28 17:09:15 CET 2013: 92: No solution found.
Sat Dec 28 17:09:19 CET 2013: 93: finished (4827ms, 500cycles)
Sat Dec 28 17:09:19 CET 2013: 93: No solution found.
Sat Dec 28 17:09:24 CET 2013: 94: finished (4610ms, 500cycles)
Sat Dec 28 17:09:24 CET 2013: 94: No solution found.
Sat Dec 28 17:09:28 CET 2013: 95: finished (4066ms, 500cycles)
Sat Dec 28 17:09:28 CET 2013: 95: No solution found.
Sat Dec 28 17:09:32 CET 2013: 96: finished (3593ms, 500cycles)
Sat Dec 28 17:09:32 CET 2013: 96: No solution found.
Sat Dec 28 17:09:36 CET 2013: 97: finished (4027ms, 500cycles)
Sat Dec 28 17:09:36 CET 2013: 97: No solution found.
Sat Dec 28 17:09:40 CET 2013: 98: finished (4076ms, 500cycles)
Sat Dec 28 17:09:40 CET 2013: 98: No solution found.
Sat Dec 28 17:09:43 CET 2013: 99: finished (3596ms, 500cycles)
Sat Dec 28 17:09:43 CET 2013: 99: No solution found.
Sat Dec 28 17:09:43 CET 2013: Solution Found: 10
Sat Dec 28 17:09:43 CET 2013: Avg cycles: 115
Sat Dec 28 17:09:43 CET 2013: Max cycles: 302
Sat Dec 28 17:09:43 CET 2013: Min cycles: 43
Sat Dec 28 17:09:43 CET 2013: No solution found: 90
Sat Dec 28 17:09:43 CET 2013: logging finished. (runtime: 365477ms)
