Sun May 18 04:26:56 CEST 2014: Problem Count: 20
Sun May 18 04:26:56 CEST 2014: CandidatesCount: 10
Sun May 18 04:26:56 CEST 2014: Max Cycles: 500
Sun May 18 04:26:58 CEST 2014: 93: No solution found.
Sun May 18 04:26:58 CEST 2014: 94: finished (1ms, 7cycles)
Sun May 18 04:26:58 CEST 2014: 94: Solution found.
Sun May 18 04:26:58 CEST 2014: 95: finished (48ms, 500cycles)
Sun May 18 04:26:58 CEST 2014: 95: No solution found.
Sun May 18 04:26:58 CEST 2014: 96: finished (1ms, 27cycles)
Sun May 18 04:26:58 CEST 2014: 96: Solution found.
Sun May 18 04:26:58 CEST 2014: 97: finished (18ms, 500cycles)
Sun May 18 04:26:58 CEST 2014: 97: No solution found.
Sun May 18 04:26:58 CEST 2014: 98: finished (20ms, 500cycles)
Sun May 18 04:26:58 CEST 2014: 98: No solution found.
Sun May 18 04:26:58 CEST 2014: 99: finished (19ms, 500cycles)
Sun May 18 04:26:58 CEST 2014: 99: No solution found.
Sun May 18 04:26:58 CEST 2014: Solution Found: 19
Sun May 18 04:26:58 CEST 2014: Avg cycles: 52
Sun May 18 04:26:58 CEST 2014: Max cycles: 222
Sun May 18 04:26:58 CEST 2014: Min cycles: 6
Sun May 18 04:26:58 CEST 2014: No solution found: 81
Sun May 18 04:26:58 CEST 2014: logging finished. (runtime: 1719ms)
