Wed May 07 01:51:20 CEST 2014: 75: Solution found.
Wed May 07 01:51:20 CEST 2014: 76: finished (65ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 76: No solution found.
Wed May 07 01:51:20 CEST 2014: 77: finished (66ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 77: No solution found.
Wed May 07 01:51:20 CEST 2014: 78: finished (71ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 78: No solution found.
Wed May 07 01:51:20 CEST 2014: 79: finished (61ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 79: No solution found.
Wed May 07 01:51:20 CEST 2014: 80: finished (5ms, 24cycles)
Wed May 07 01:51:20 CEST 2014: 80: Solution found.
Wed May 07 01:51:20 CEST 2014: 81: finished (1ms, 3cycles)
Wed May 07 01:51:20 CEST 2014: 81: Solution found.
Wed May 07 01:51:20 CEST 2014: 82: finished (71ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 82: No solution found.
Wed May 07 01:51:20 CEST 2014: 83: finished (68ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 83: No solution found.
Wed May 07 01:51:20 CEST 2014: 84: finished (66ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 84: No solution found.
Wed May 07 01:51:20 CEST 2014: 85: finished (1ms, 4cycles)
Wed May 07 01:51:20 CEST 2014: 85: Solution found.
Wed May 07 01:51:20 CEST 2014: 86: finished (86ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 86: No solution found.
Wed May 07 01:51:20 CEST 2014: 87: finished (66ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 87: No solution found.
Wed May 07 01:51:20 CEST 2014: 88: finished (4ms, 26cycles)
Wed May 07 01:51:20 CEST 2014: 88: Solution found.
Wed May 07 01:51:20 CEST 2014: 89: finished (65ms, 500cycles)
Wed May 07 01:51:20 CEST 2014: 89: No solution found.
Wed May 07 01:51:20 CEST 2014: 90: finished (5ms, 31cycles)
Wed May 07 01:51:20 CEST 2014: 90: Solution found.
Wed May 07 01:51:20 CEST 2014: 91: finished (18ms, 83cycles)
Wed May 07 01:51:20 CEST 2014: 91: Solution found.
Wed May 07 01:51:21 CEST 2014: 92: finished (71ms, 500cycles)
Wed May 07 01:51:21 CEST 2014: 92: No solution found.
Wed May 07 01:51:21 CEST 2014: 93: finished (2ms, 8cycles)
Wed May 07 01:51:21 CEST 2014: 93: Solution found.
Wed May 07 01:51:21 CEST 2014: 94: finished (7ms, 39cycles)
Wed May 07 01:51:21 CEST 2014: 94: Solution found.
Wed May 07 01:51:21 CEST 2014: 95: finished (72ms, 500cycles)
Wed May 07 01:51:21 CEST 2014: 95: No solution found.
Wed May 07 01:51:21 CEST 2014: 96: finished (72ms, 500cycles)
Wed May 07 01:51:21 CEST 2014: 96: No solution found.
Wed May 07 01:51:21 CEST 2014: 97: finished (68ms, 500cycles)
Wed May 07 01:51:21 CEST 2014: 97: No solution found.
Wed May 07 01:51:21 CEST 2014: 98: finished (5ms, 6cycles)
Wed May 07 01:51:21 CEST 2014: 98: Solution found.
Wed May 07 01:51:21 CEST 2014: 99: finished (6ms, 25cycles)
Wed May 07 01:51:21 CEST 2014: 99: Solution found.
Wed May 07 01:51:21 CEST 2014: Solution Found: 24
Wed May 07 01:51:21 CEST 2014: Avg cycles: 18
Wed May 07 01:51:21 CEST 2014: Max cycles: 83
Wed May 07 01:51:21 CEST 2014: Min cycles: 3
Wed May 07 01:51:21 CEST 2014: No solution found: 76
Wed May 07 01:51:21 CEST 2014: logging finished. (runtime: 5292ms)
