Thu Jan 02 01:54:27 CET 2014: 82: finished (6400ms, 500cycles)
Thu Jan 02 01:54:27 CET 2014: 82: No solution found.
Thu Jan 02 01:54:34 CET 2014: 83: finished (6462ms, 500cycles)
Thu Jan 02 01:54:34 CET 2014: 83: No solution found.
Thu Jan 02 01:54:41 CET 2014: 84: finished (7025ms, 500cycles)
Thu Jan 02 01:54:41 CET 2014: 84: No solution found.
Thu Jan 02 01:54:49 CET 2014: 85: finished (7915ms, 500cycles)
Thu Jan 02 01:54:49 CET 2014: 85: No solution found.
Thu Jan 02 01:54:56 CET 2014: 86: finished (7200ms, 500cycles)
Thu Jan 02 01:54:56 CET 2014: 86: No solution found.
Thu Jan 02 01:55:03 CET 2014: 87: finished (6539ms, 500cycles)
Thu Jan 02 01:55:03 CET 2014: 87: No solution found.
Thu Jan 02 01:55:10 CET 2014: 88: finished (7503ms, 500cycles)
Thu Jan 02 01:55:10 CET 2014: 88: No solution found.
Thu Jan 02 01:55:12 CET 2014: 89: finished (2373ms, 500cycles)
Thu Jan 02 01:55:12 CET 2014: 89: No solution found.
Thu Jan 02 01:55:15 CET 2014: 90: finished (2238ms, 500cycles)
Thu Jan 02 01:55:15 CET 2014: 90: No solution found.
Thu Jan 02 01:55:17 CET 2014: 91: finished (2377ms, 500cycles)
Thu Jan 02 01:55:17 CET 2014: 91: No solution found.
Thu Jan 02 01:55:19 CET 2014: 92: finished (2393ms, 500cycles)
Thu Jan 02 01:55:19 CET 2014: 92: No solution found.
Thu Jan 02 01:55:22 CET 2014: 93: finished (2165ms, 500cycles)
Thu Jan 02 01:55:22 CET 2014: 93: No solution found.
Thu Jan 02 01:55:24 CET 2014: 94: finished (2416ms, 500cycles)
Thu Jan 02 01:55:24 CET 2014: 94: No solution found.
Thu Jan 02 01:55:26 CET 2014: 95: finished (2470ms, 500cycles)
Thu Jan 02 01:55:26 CET 2014: 95: No solution found.
Thu Jan 02 01:55:29 CET 2014: 96: finished (2539ms, 500cycles)
Thu Jan 02 01:55:29 CET 2014: 96: No solution found.
Thu Jan 02 01:55:35 CET 2014: 97: finished (5589ms, 500cycles)
Thu Jan 02 01:55:35 CET 2014: 97: No solution found.
Thu Jan 02 01:55:38 CET 2014: 98: finished (3045ms, 500cycles)
Thu Jan 02 01:55:38 CET 2014: 98: No solution found.
Thu Jan 02 01:55:40 CET 2014: 99: finished (2321ms, 500cycles)
Thu Jan 02 01:55:40 CET 2014: 99: No solution found.
Thu Jan 02 01:55:40 CET 2014: Solution Found: 0
Thu Jan 02 01:55:40 CET 2014: Avg cycles: 48
Thu Jan 02 01:55:40 CET 2014: Max cycles: 0
Thu Jan 02 01:55:40 CET 2014: Min cycles: 10000
Thu Jan 02 01:55:40 CET 2014: No solution found: 100
Thu Jan 02 01:55:40 CET 2014: logging finished. (runtime: 394235ms)
