Mon May 19 23:27:44 CEST 2014: 89: No solution found.
Mon May 19 23:27:44 CEST 2014: 90: finished (355ms, 500cycles)
Mon May 19 23:27:44 CEST 2014: 90: No solution found.
Mon May 19 23:27:45 CEST 2014: 91: finished (308ms, 500cycles)
Mon May 19 23:27:45 CEST 2014: 91: No solution found.
Mon May 19 23:27:45 CEST 2014: 92: finished (363ms, 500cycles)
Mon May 19 23:27:45 CEST 2014: 92: No solution found.
Mon May 19 23:27:45 CEST 2014: 93: finished (410ms, 500cycles)
Mon May 19 23:27:45 CEST 2014: 93: No solution found.
Mon May 19 23:27:46 CEST 2014: 94: finished (367ms, 500cycles)
Mon May 19 23:27:46 CEST 2014: 94: No solution found.
Mon May 19 23:27:46 CEST 2014: 95: finished (324ms, 500cycles)
Mon May 19 23:27:46 CEST 2014: 95: No solution found.
Mon May 19 23:27:46 CEST 2014: 96: finished (325ms, 500cycles)
Mon May 19 23:27:46 CEST 2014: 96: No solution found.
Mon May 19 23:27:47 CEST 2014: 97: finished (58ms, 60cycles)
Mon May 19 23:27:47 CEST 2014: 97: Solution found.
Mon May 19 23:27:47 CEST 2014: 98: finished (314ms, 500cycles)
Mon May 19 23:27:47 CEST 2014: 98: No solution found.
Mon May 19 23:27:47 CEST 2014: 99: finished (316ms, 500cycles)
Mon May 19 23:27:47 CEST 2014: 99: No solution found.
Mon May 19 23:27:47 CEST 2014: Solution Found: 12
Mon May 19 23:27:47 CEST 2014: Avg cycles: 98
Mon May 19 23:27:47 CEST 2014: Max cycles: 375
Mon May 19 23:27:47 CEST 2014: Min cycles: 28
Mon May 19 23:27:47 CEST 2014: No solution found: 88
Mon May 19 23:27:47 CEST 2014: logging finished. (runtime: 32865ms)
