Mon May 19 22:56:46 CEST 2014: 79: No solution found.
Mon May 19 22:57:01 CEST 2014: 80: finished (14922ms, 500cycles)
Mon May 19 22:57:01 CEST 2014: 80: No solution found.
Mon May 19 22:57:16 CEST 2014: 81: finished (15183ms, 500cycles)
Mon May 19 22:57:16 CEST 2014: 81: No solution found.
Mon May 19 22:57:31 CEST 2014: 82: finished (14368ms, 500cycles)
Mon May 19 22:57:31 CEST 2014: 82: No solution found.
Mon May 19 22:57:42 CEST 2014: 83: finished (11140ms, 500cycles)
Mon May 19 22:57:42 CEST 2014: 83: No solution found.
Mon May 19 22:57:54 CEST 2014: 84: finished (11600ms, 500cycles)
Mon May 19 22:57:54 CEST 2014: 84: No solution found.
Mon May 19 22:58:09 CEST 2014: 85: finished (15349ms, 500cycles)
Mon May 19 22:58:09 CEST 2014: 85: No solution found.
Mon May 19 22:58:19 CEST 2014: 86: finished (10486ms, 500cycles)
Mon May 19 22:58:19 CEST 2014: 86: No solution found.
Mon May 19 22:58:35 CEST 2014: 87: finished (15913ms, 500cycles)
Mon May 19 22:58:35 CEST 2014: 87: No solution found.
Mon May 19 22:58:50 CEST 2014: 88: finished (14561ms, 500cycles)
Mon May 19 22:58:50 CEST 2014: 88: No solution found.
Mon May 19 22:58:54 CEST 2014: 89: finished (3874ms, 146cycles)
Mon May 19 22:58:54 CEST 2014: 89: Solution found.
Mon May 19 22:59:11 CEST 2014: 90: finished (16853ms, 500cycles)
Mon May 19 22:59:11 CEST 2014: 90: No solution found.
Mon May 19 22:59:22 CEST 2014: 91: finished (11574ms, 500cycles)
Mon May 19 22:59:22 CEST 2014: 91: No solution found.
Mon May 19 22:59:34 CEST 2014: 92: finished (11221ms, 500cycles)
Mon May 19 22:59:34 CEST 2014: 92: No solution found.
Mon May 19 22:59:50 CEST 2014: 93: finished (16212ms, 500cycles)
Mon May 19 22:59:50 CEST 2014: 93: No solution found.
Mon May 19 22:59:56 CEST 2014: 94: finished (6095ms, 235cycles)
Mon May 19 22:59:56 CEST 2014: 94: Solution found.
Mon May 19 23:00:14 CEST 2014: 95: finished (17905ms, 500cycles)
Mon May 19 23:00:14 CEST 2014: 95: No solution found.
Mon May 19 23:00:25 CEST 2014: 96: finished (10983ms, 500cycles)
Mon May 19 23:00:25 CEST 2014: 96: No solution found.
Mon May 19 23:00:34 CEST 2014: 97: finished (8736ms, 500cycles)
Mon May 19 23:00:34 CEST 2014: 97: No solution found.
