Sat Jan 11 19:03:05 CET 2014: 79: No solution found.
Sat Jan 11 19:03:05 CET 2014: 80: finished (2ms, 3cycles)
Sat Jan 11 19:03:05 CET 2014: 80: Solution found.
Sat Jan 11 19:03:05 CET 2014: 81: finished (8ms, 15cycles)
Sat Jan 11 19:03:05 CET 2014: 81: Solution found.
Sat Jan 11 19:03:05 CET 2014: 82: finished (246ms, 500cycles)
Sat Jan 11 19:03:05 CET 2014: 82: No solution found.
Sat Jan 11 19:03:06 CET 2014: 83: finished (212ms, 500cycles)
Sat Jan 11 19:03:06 CET 2014: 83: No solution found.
Sat Jan 11 19:03:06 CET 2014: 84: finished (208ms, 500cycles)
Sat Jan 11 19:03:06 CET 2014: 84: No solution found.
Sat Jan 11 19:03:06 CET 2014: 85: finished (218ms, 500cycles)
Sat Jan 11 19:03:06 CET 2014: 85: No solution found.
Sat Jan 11 19:03:06 CET 2014: 86: finished (210ms, 500cycles)
Sat Jan 11 19:03:06 CET 2014: 86: No solution found.
Sat Jan 11 19:03:06 CET 2014: 87: finished (218ms, 500cycles)
Sat Jan 11 19:03:06 CET 2014: 87: No solution found.
Sat Jan 11 19:03:07 CET 2014: 88: finished (210ms, 500cycles)
Sat Jan 11 19:03:07 CET 2014: 88: No solution found.
Sat Jan 11 19:03:07 CET 2014: 89: finished (295ms, 500cycles)
Sat Jan 11 19:03:07 CET 2014: 89: No solution found.
Sat Jan 11 19:03:07 CET 2014: 90: finished (517ms, 500cycles)
Sat Jan 11 19:03:07 CET 2014: 90: No solution found.
Sat Jan 11 19:03:08 CET 2014: 91: finished (518ms, 500cycles)
Sat Jan 11 19:03:08 CET 2014: 91: No solution found.
Sat Jan 11 19:03:09 CET 2014: 92: finished (552ms, 500cycles)
Sat Jan 11 19:03:09 CET 2014: 92: No solution found.
Sat Jan 11 19:03:09 CET 2014: 93: finished (519ms, 500cycles)
Sat Jan 11 19:03:09 CET 2014: 93: No solution found.
Sat Jan 11 19:03:10 CET 2014: 94: finished (535ms, 500cycles)
Sat Jan 11 19:03:10 CET 2014: 94: No solution found.
Sat Jan 11 19:03:10 CET 2014: 95: finished (523ms, 500cycles)
Sat Jan 11 19:03:10 CET 2014: 95: No solution found.
Sat Jan 11 19:03:11 CET 2014: 96: finished (523ms, 500cycles)
Sat Jan 11 19:03:11 CET 2014: 96: No solution found.
Sat Jan 11 19:03:11 CET 2014: 97: finished (519ms, 500cycles)
Sat Jan 11 19:03:11 CET 2014: 97: No solution found.
Sat Jan 11 19:03:12 CET 2014: 98: finished (518ms, 500cycles)
Sat Jan 11 19:03:12 CET 2014: 98: No solution found.
Sat Jan 11 19:03:12 CET 2014: 99: finished (513ms, 500cycles)
Sat Jan 11 19:03:12 CET 2014: 99: No solution found.
Sat Jan 11 19:03:12 CET 2014: Solution Found: 15
Sat Jan 11 19:03:12 CET 2014: Avg cycles: 19
Sat Jan 11 19:03:12 CET 2014: Max cycles: 54
Sat Jan 11 19:03:12 CET 2014: Min cycles: 3
Sat Jan 11 19:03:12 CET 2014: No solution found: 85
Sat Jan 11 19:03:12 CET 2014: logging finished. (runtime: 25302ms)
