Sat Dec 28 00:25:52 CET 2013: 67: finished (3065ms, 401cycles)
Sat Dec 28 00:25:52 CET 2013: 67: Solution found.
Sat Dec 28 00:25:55 CET 2013: 68: finished (3073ms, 500cycles)
Sat Dec 28 00:25:55 CET 2013: 68: No solution found.
Sat Dec 28 00:25:58 CET 2013: 69: finished (2734ms, 500cycles)
Sat Dec 28 00:25:58 CET 2013: 69: No solution found.
Sat Dec 28 00:26:01 CET 2013: 70: finished (2715ms, 500cycles)
Sat Dec 28 00:26:01 CET 2013: 70: No solution found.
Sat Dec 28 00:26:03 CET 2013: 71: finished (2873ms, 500cycles)
Sat Dec 28 00:26:03 CET 2013: 71: No solution found.
Sat Dec 28 00:26:04 CET 2013: 72: finished (977ms, 134cycles)
Sat Dec 28 00:26:04 CET 2013: 72: Solution found.
Sat Dec 28 00:26:05 CET 2013: 73: finished (320ms, 52cycles)
Sat Dec 28 00:26:05 CET 2013: 73: Solution found.
Sat Dec 28 00:26:05 CET 2013: 74: finished (644ms, 106cycles)
Sat Dec 28 00:26:05 CET 2013: 74: Solution found.
Sat Dec 28 00:26:08 CET 2013: 75: finished (2945ms, 500cycles)
Sat Dec 28 00:26:08 CET 2013: 75: No solution found.
Sat Dec 28 00:26:11 CET 2013: 76: finished (2868ms, 500cycles)
Sat Dec 28 00:26:11 CET 2013: 76: No solution found.
Sat Dec 28 00:26:14 CET 2013: 77: finished (2810ms, 500cycles)
Sat Dec 28 00:26:14 CET 2013: 77: No solution found.
Sat Dec 28 00:26:17 CET 2013: 78: finished (2718ms, 500cycles)
Sat Dec 28 00:26:17 CET 2013: 78: No solution found.
Sat Dec 28 00:26:19 CET 2013: 79: finished (2738ms, 500cycles)
Sat Dec 28 00:26:19 CET 2013: 79: No solution found.
Sat Dec 28 00:26:22 CET 2013: 80: finished (2850ms, 500cycles)
Sat Dec 28 00:26:22 CET 2013: 80: No solution found.
Sat Dec 28 00:26:25 CET 2013: 81: finished (2857ms, 500cycles)
Sat Dec 28 00:26:25 CET 2013: 81: No solution found.
Sat Dec 28 00:26:28 CET 2013: 82: finished (2764ms, 500cycles)
Sat Dec 28 00:26:28 CET 2013: 82: No solution found.
Sat Dec 28 00:26:28 CET 2013: 83: finished (238ms, 39cycles)
Sat Dec 28 00:26:28 CET 2013: 83: Solution found.
Sat Dec 28 00:26:32 CET 2013: 84: finished (3692ms, 500cycles)
Sat Dec 28 00:26:32 CET 2013: 84: No solution found.
Sat Dec 28 00:26:32 CET 2013: 85: finished (405ms, 70cycles)
Sat Dec 28 00:26:32 CET 2013: 85: Solution found.
Sat Dec 28 00:26:35 CET 2013: 86: finished (2846ms, 500cycles)
Sat Dec 28 00:26:35 CET 2013: 86: No solution found.
Sat Dec 28 00:26:39 CET 2013: 87: finished (3765ms, 500cycles)
Sat Dec 28 00:26:39 CET 2013: 87: No solution found.
Sat Dec 28 00:26:42 CET 2013: 88: finished (2806ms, 500cycles)
Sat Dec 28 00:26:42 CET 2013: 88: No solution found.
Sat Dec 28 00:26:44 CET 2013: 89: finished (2779ms, 500cycles)
Sat Dec 28 00:26:44 CET 2013: 89: No solution found.
Sat Dec 28 00:26:47 CET 2013: 90: finished (2733ms, 500cycles)
Sat Dec 28 00:26:47 CET 2013: 90: No solution found.
Sat Dec 28 00:26:50 CET 2013: 91: finished (2817ms, 500cycles)
Sat Dec 28 00:26:50 CET 2013: 91: No solution found.
Sat Dec 28 00:26:50 CET 2013: 92: finished (180ms, 31cycles)
Sat Dec 28 00:26:50 CET 2013: 92: Solution found.
Sat Dec 28 00:26:53 CET 2013: 93: finished (2810ms, 500cycles)
Sat Dec 28 00:26:53 CET 2013: 93: No solution found.
Sat Dec 28 00:26:56 CET 2013: 94: finished (2867ms, 500cycles)
Sat Dec 28 00:26:56 CET 2013: 94: No solution found.
Sat Dec 28 00:26:59 CET 2013: 95: finished (2724ms, 500cycles)
Sat Dec 28 00:26:59 CET 2013: 95: No solution found.
Sat Dec 28 00:27:02 CET 2013: 96: finished (3072ms, 500cycles)
Sat Dec 28 00:27:02 CET 2013: 96: No solution found.
Sat Dec 28 00:27:05 CET 2013: 97: finished (2941ms, 500cycles)
Sat Dec 28 00:27:05 CET 2013: 97: No solution found.
Sat Dec 28 00:27:07 CET 2013: 98: finished (2841ms, 500cycles)
Sat Dec 28 00:27:07 CET 2013: 98: No solution found.
Sat Dec 28 00:27:12 CET 2013: 99: finished (4168ms, 500cycles)
Sat Dec 28 00:27:12 CET 2013: 99: No solution found.
Sat Dec 28 00:27:12 CET 2013: Solution Found: 18
Sat Dec 28 00:27:12 CET 2013: Avg cycles: 93
Sat Dec 28 00:27:12 CET 2013: Max cycles: 401
Sat Dec 28 00:27:12 CET 2013: Min cycles: 20
Sat Dec 28 00:27:12 CET 2013: No solution found: 82
Sat Dec 28 00:27:12 CET 2013: logging finished. (runtime: 260399ms)
