Fri Dec 27 01:06:39 CET 2013: 87: finished (4800ms, 500cycles)
Fri Dec 27 01:06:39 CET 2013: 87: No solution found.
Fri Dec 27 01:06:46 CET 2013: 88: finished (6045ms, 500cycles)
Fri Dec 27 01:06:46 CET 2013: 88: No solution found.
Fri Dec 27 01:06:51 CET 2013: 89: finished (5439ms, 500cycles)
Fri Dec 27 01:06:51 CET 2013: 89: No solution found.
Fri Dec 27 01:06:57 CET 2013: 90: finished (5892ms, 500cycles)
Fri Dec 27 01:06:57 CET 2013: 90: No solution found.
Fri Dec 27 01:06:58 CET 2013: 91: finished (917ms, 76cycles)
Fri Dec 27 01:06:58 CET 2013: 91: Solution found.
Fri Dec 27 01:06:58 CET 2013: 92: finished (242ms, 20cycles)
Fri Dec 27 01:06:58 CET 2013: 92: Solution found.
Fri Dec 27 01:07:06 CET 2013: 93: finished (8185ms, 500cycles)
Fri Dec 27 01:07:06 CET 2013: 93: No solution found.
Fri Dec 27 01:07:12 CET 2013: 94: finished (6119ms, 500cycles)
Fri Dec 27 01:07:12 CET 2013: 94: No solution found.
Fri Dec 27 01:07:22 CET 2013: 95: finished (9534ms, 500cycles)
Fri Dec 27 01:07:22 CET 2013: 95: No solution found.
Fri Dec 27 01:07:27 CET 2013: 96: finished (5422ms, 500cycles)
Fri Dec 27 01:07:27 CET 2013: 96: No solution found.
Fri Dec 27 01:07:33 CET 2013: 97: finished (5238ms, 500cycles)
Fri Dec 27 01:07:33 CET 2013: 97: No solution found.
Fri Dec 27 01:07:41 CET 2013: 98: finished (8638ms, 500cycles)
Fri Dec 27 01:07:41 CET 2013: 98: No solution found.
Fri Dec 27 01:07:48 CET 2013: 99: finished (7124ms, 500cycles)
Fri Dec 27 01:07:48 CET 2013: 99: No solution found.
Fri Dec 27 01:07:48 CET 2013: Solution Found: 8
Fri Dec 27 01:07:48 CET 2013: Avg cycles: 43
Fri Dec 27 01:07:48 CET 2013: Max cycles: 76
Fri Dec 27 01:07:48 CET 2013: Min cycles: 15
Fri Dec 27 01:07:48 CET 2013: No solution found: 92
Fri Dec 27 01:07:48 CET 2013: logging finished. (runtime: 595555ms)
