Sun Jan 12 00:53:43 CET 2014: 86: finished (303ms, 500cycles)
Sun Jan 12 00:53:43 CET 2014: 86: No solution found.
Sun Jan 12 00:53:44 CET 2014: 87: finished (310ms, 500cycles)
Sun Jan 12 00:53:44 CET 2014: 87: No solution found.
Sun Jan 12 00:53:44 CET 2014: 88: finished (328ms, 500cycles)
Sun Jan 12 00:53:44 CET 2014: 88: No solution found.
Sun Jan 12 00:53:44 CET 2014: 89: finished (316ms, 500cycles)
Sun Jan 12 00:53:44 CET 2014: 89: No solution found.
Sun Jan 12 00:53:45 CET 2014: 90: finished (267ms, 500cycles)
Sun Jan 12 00:53:45 CET 2014: 90: No solution found.
Sun Jan 12 00:53:45 CET 2014: 91: finished (258ms, 500cycles)
Sun Jan 12 00:53:45 CET 2014: 91: No solution found.
Sun Jan 12 00:53:45 CET 2014: 92: finished (256ms, 500cycles)
Sun Jan 12 00:53:45 CET 2014: 92: No solution found.
Sun Jan 12 00:53:46 CET 2014: 93: finished (299ms, 500cycles)
Sun Jan 12 00:53:46 CET 2014: 93: No solution found.
Sun Jan 12 00:53:46 CET 2014: 94: finished (387ms, 500cycles)
Sun Jan 12 00:53:46 CET 2014: 94: No solution found.
Sun Jan 12 00:53:46 CET 2014: 95: finished (321ms, 500cycles)
Sun Jan 12 00:53:46 CET 2014: 95: No solution found.
Sun Jan 12 00:53:47 CET 2014: 96: finished (295ms, 500cycles)
Sun Jan 12 00:53:47 CET 2014: 96: No solution found.
Sun Jan 12 00:53:47 CET 2014: 97: finished (301ms, 500cycles)
Sun Jan 12 00:53:47 CET 2014: 97: No solution found.
Sun Jan 12 00:53:47 CET 2014: 98: finished (318ms, 500cycles)
Sun Jan 12 00:53:47 CET 2014: 98: No solution found.
Sun Jan 12 00:53:47 CET 2014: 99: finished (323ms, 500cycles)
Sun Jan 12 00:53:47 CET 2014: 99: No solution found.
Sun Jan 12 00:53:47 CET 2014: Solution Found: 0
Sun Jan 12 00:53:47 CET 2014: Avg cycles: 48
Sun Jan 12 00:53:47 CET 2014: Max cycles: 0
Sun Jan 12 00:53:47 CET 2014: Min cycles: 10000
Sun Jan 12 00:53:47 CET 2014: No solution found: 100
Sun Jan 12 00:53:47 CET 2014: logging finished. (runtime: 31855ms)
