Thu Jan 02 01:35:04 CET 2014: 60: No solution found.
Thu Jan 02 01:35:07 CET 2014: 61: finished (3355ms, 500cycles)
Thu Jan 02 01:35:07 CET 2014: 61: No solution found.
Thu Jan 02 01:35:10 CET 2014: 62: finished (3172ms, 500cycles)
Thu Jan 02 01:35:10 CET 2014: 62: No solution found.
Thu Jan 02 01:35:14 CET 2014: 63: finished (3306ms, 500cycles)
Thu Jan 02 01:35:14 CET 2014: 63: No solution found.
Thu Jan 02 01:35:17 CET 2014: 64: finished (3529ms, 500cycles)
Thu Jan 02 01:35:17 CET 2014: 64: No solution found.
Thu Jan 02 01:35:22 CET 2014: 65: finished (5002ms, 500cycles)
Thu Jan 02 01:35:22 CET 2014: 65: No solution found.
Thu Jan 02 01:35:27 CET 2014: 66: finished (4607ms, 500cycles)
Thu Jan 02 01:35:27 CET 2014: 66: No solution found.
Thu Jan 02 01:35:30 CET 2014: 67: finished (3511ms, 500cycles)
Thu Jan 02 01:35:30 CET 2014: 67: No solution found.
Thu Jan 02 01:35:34 CET 2014: 68: finished (3370ms, 500cycles)
Thu Jan 02 01:35:34 CET 2014: 68: No solution found.
Thu Jan 02 01:35:37 CET 2014: 69: finished (3332ms, 500cycles)
Thu Jan 02 01:35:37 CET 2014: 69: No solution found.
Thu Jan 02 01:35:40 CET 2014: 70: finished (3237ms, 500cycles)
Thu Jan 02 01:35:40 CET 2014: 70: No solution found.
Thu Jan 02 01:35:43 CET 2014: 71: finished (3236ms, 500cycles)
Thu Jan 02 01:35:43 CET 2014: 71: No solution found.
Thu Jan 02 01:35:47 CET 2014: 72: finished (3603ms, 500cycles)
Thu Jan 02 01:35:47 CET 2014: 72: No solution found.
Thu Jan 02 01:35:50 CET 2014: 73: finished (3376ms, 500cycles)
Thu Jan 02 01:35:50 CET 2014: 73: No solution found.
Thu Jan 02 01:35:54 CET 2014: 74: finished (3335ms, 500cycles)
Thu Jan 02 01:35:54 CET 2014: 74: No solution found.
Thu Jan 02 01:35:58 CET 2014: 75: finished (4364ms, 500cycles)
Thu Jan 02 01:35:58 CET 2014: 75: No solution found.
Thu Jan 02 01:36:03 CET 2014: 76: finished (5342ms, 500cycles)
Thu Jan 02 01:36:03 CET 2014: 76: No solution found.
Thu Jan 02 01:36:07 CET 2014: 77: finished (3480ms, 500cycles)
Thu Jan 02 01:36:07 CET 2014: 77: No solution found.
Thu Jan 02 01:36:10 CET 2014: 78: finished (3262ms, 500cycles)
Thu Jan 02 01:36:10 CET 2014: 78: No solution found.
Thu Jan 02 01:36:14 CET 2014: 79: finished (3436ms, 500cycles)
Thu Jan 02 01:36:14 CET 2014: 79: No solution found.
Thu Jan 02 01:36:17 CET 2014: 80: finished (3601ms, 500cycles)
Thu Jan 02 01:36:17 CET 2014: 80: No solution found.
Thu Jan 02 01:36:21 CET 2014: 81: finished (4225ms, 500cycles)
Thu Jan 02 01:36:21 CET 2014: 81: No solution found.
Thu Jan 02 01:36:27 CET 2014: 82: finished (5575ms, 500cycles)
Thu Jan 02 01:36:27 CET 2014: 82: No solution found.
Thu Jan 02 01:36:30 CET 2014: 83: finished (3386ms, 500cycles)
Thu Jan 02 01:36:30 CET 2014: 83: No solution found.
Thu Jan 02 01:36:34 CET 2014: 84: finished (3989ms, 500cycles)
Thu Jan 02 01:36:34 CET 2014: 84: No solution found.
Thu Jan 02 01:36:41 CET 2014: 85: finished (6958ms, 500cycles)
Thu Jan 02 01:36:41 CET 2014: 85: No solution found.
Thu Jan 02 01:36:46 CET 2014: 86: finished (4679ms, 500cycles)
Thu Jan 02 01:36:46 CET 2014: 86: No solution found.
Thu Jan 02 01:36:49 CET 2014: 87: finished (3438ms, 500cycles)
Thu Jan 02 01:36:49 CET 2014: 87: No solution found.
Thu Jan 02 01:36:53 CET 2014: 88: finished (3463ms, 500cycles)
Thu Jan 02 01:36:53 CET 2014: 88: No solution found.
Thu Jan 02 01:36:56 CET 2014: 89: finished (3231ms, 500cycles)
Thu Jan 02 01:36:56 CET 2014: 89: No solution found.
Thu Jan 02 01:36:59 CET 2014: 90: finished (3327ms, 500cycles)
Thu Jan 02 01:36:59 CET 2014: 90: No solution found.
Thu Jan 02 01:37:03 CET 2014: 91: finished (3455ms, 500cycles)
Thu Jan 02 01:37:03 CET 2014: 91: No solution found.
Thu Jan 02 01:37:06 CET 2014: 92: finished (3264ms, 500cycles)
Thu Jan 02 01:37:06 CET 2014: 92: No solution found.
Thu Jan 02 01:37:09 CET 2014: 93: finished (3281ms, 500cycles)
Thu Jan 02 01:37:09 CET 2014: 93: No solution found.
Thu Jan 02 01:37:12 CET 2014: 94: finished (3032ms, 500cycles)
Thu Jan 02 01:37:12 CET 2014: 94: No solution found.
Thu Jan 02 01:37:19 CET 2014: 95: finished (6402ms, 500cycles)
Thu Jan 02 01:37:19 CET 2014: 95: No solution found.
Thu Jan 02 01:37:22 CET 2014: 96: finished (3096ms, 500cycles)
Thu Jan 02 01:37:22 CET 2014: 96: No solution found.
Thu Jan 02 01:37:25 CET 2014: 97: finished (3172ms, 500cycles)
Thu Jan 02 01:37:25 CET 2014: 97: No solution found.
Thu Jan 02 01:37:28 CET 2014: 98: finished (3302ms, 500cycles)
Thu Jan 02 01:37:28 CET 2014: 98: No solution found.
Thu Jan 02 01:37:32 CET 2014: 99: finished (3383ms, 500cycles)
Thu Jan 02 01:37:32 CET 2014: 99: No solution found.
Thu Jan 02 01:37:32 CET 2014: Solution Found: 0
Thu Jan 02 01:37:32 CET 2014: Avg cycles: 48
Thu Jan 02 01:37:32 CET 2014: Max cycles: 0
Thu Jan 02 01:37:32 CET 2014: Min cycles: 10000
Thu Jan 02 01:37:32 CET 2014: No solution found: 100
Thu Jan 02 01:37:32 CET 2014: logging finished. (runtime: 355436ms)
