Fri Dec 27 17:46:17 CET 2013: 66: No solution found.
Fri Dec 27 17:46:41 CET 2013: 67: finished (23655ms, 2000cycles)
Fri Dec 27 17:46:41 CET 2013: 67: No solution found.
Fri Dec 27 17:47:05 CET 2013: 68: finished (23904ms, 2000cycles)
Fri Dec 27 17:47:05 CET 2013: 68: No solution found.
Fri Dec 27 17:47:30 CET 2013: 69: finished (24921ms, 2000cycles)
Fri Dec 27 17:47:30 CET 2013: 69: No solution found.
Fri Dec 27 17:47:54 CET 2013: 70: finished (23942ms, 2000cycles)
Fri Dec 27 17:47:54 CET 2013: 70: No solution found.
Fri Dec 27 17:48:18 CET 2013: 71: finished (24230ms, 2000cycles)
Fri Dec 27 17:48:18 CET 2013: 71: No solution found.
Fri Dec 27 17:48:42 CET 2013: 72: finished (24172ms, 2000cycles)
Fri Dec 27 17:48:42 CET 2013: 72: No solution found.
Fri Dec 27 17:49:06 CET 2013: 73: finished (23708ms, 2000cycles)
Fri Dec 27 17:49:06 CET 2013: 73: No solution found.
Fri Dec 27 17:49:29 CET 2013: 74: finished (23641ms, 2000cycles)
Fri Dec 27 17:49:29 CET 2013: 74: No solution found.
Fri Dec 27 17:49:55 CET 2013: 75: finished (25744ms, 2000cycles)
Fri Dec 27 17:49:55 CET 2013: 75: No solution found.
Fri Dec 27 17:50:18 CET 2013: 76: finished (23293ms, 2000cycles)
Fri Dec 27 17:50:18 CET 2013: 76: No solution found.
Fri Dec 27 17:50:43 CET 2013: 77: finished (24348ms, 2000cycles)
Fri Dec 27 17:50:43 CET 2013: 77: No solution found.
Fri Dec 27 17:51:07 CET 2013: 78: finished (24063ms, 2000cycles)
Fri Dec 27 17:51:07 CET 2013: 78: No solution found.
Fri Dec 27 17:51:31 CET 2013: 79: finished (24182ms, 2000cycles)
Fri Dec 27 17:51:31 CET 2013: 79: No solution found.
Fri Dec 27 17:51:55 CET 2013: 80: finished (24268ms, 2000cycles)
Fri Dec 27 17:51:55 CET 2013: 80: No solution found.
Fri Dec 27 17:52:18 CET 2013: 81: finished (23168ms, 2000cycles)
Fri Dec 27 17:52:18 CET 2013: 81: No solution found.
Fri Dec 27 17:52:42 CET 2013: 82: finished (23613ms, 2000cycles)
Fri Dec 27 17:52:42 CET 2013: 82: No solution found.
Fri Dec 27 17:53:08 CET 2013: 83: finished (26171ms, 2000cycles)
Fri Dec 27 17:53:08 CET 2013: 83: No solution found.
Fri Dec 27 17:53:32 CET 2013: 84: finished (23541ms, 2000cycles)
Fri Dec 27 17:53:32 CET 2013: 84: No solution found.
Fri Dec 27 17:53:56 CET 2013: 85: finished (23868ms, 2000cycles)
Fri Dec 27 17:53:56 CET 2013: 85: No solution found.
Fri Dec 27 17:54:20 CET 2013: 86: finished (23852ms, 2000cycles)
Fri Dec 27 17:54:20 CET 2013: 86: No solution found.
Fri Dec 27 17:54:43 CET 2013: 87: finished (23234ms, 2000cycles)
Fri Dec 27 17:54:43 CET 2013: 87: No solution found.
Fri Dec 27 17:55:07 CET 2013: 88: finished (24599ms, 2000cycles)
Fri Dec 27 17:55:07 CET 2013: 88: No solution found.
Fri Dec 27 17:55:31 CET 2013: 89: finished (23266ms, 2000cycles)
Fri Dec 27 17:55:31 CET 2013: 89: No solution found.
Fri Dec 27 17:55:54 CET 2013: 90: finished (23532ms, 2000cycles)
Fri Dec 27 17:55:54 CET 2013: 90: No solution found.
Fri Dec 27 17:56:19 CET 2013: 91: finished (24713ms, 2000cycles)
Fri Dec 27 17:56:19 CET 2013: 91: No solution found.
