Fri Dec 27 19:15:23 CET 2013: 67: No solution found.
Fri Dec 27 19:15:25 CET 2013: 68: finished (1865ms, 500cycles)
Fri Dec 27 19:15:25 CET 2013: 68: No solution found.
Fri Dec 27 19:15:27 CET 2013: 69: finished (1719ms, 500cycles)
Fri Dec 27 19:15:27 CET 2013: 69: No solution found.
Fri Dec 27 19:15:27 CET 2013: 70: finished (439ms, 119cycles)
Fri Dec 27 19:15:27 CET 2013: 70: Solution found.
Fri Dec 27 19:15:29 CET 2013: 71: finished (1906ms, 500cycles)
Fri Dec 27 19:15:29 CET 2013: 71: No solution found.
Fri Dec 27 19:15:31 CET 2013: 72: finished (1817ms, 500cycles)
Fri Dec 27 19:15:31 CET 2013: 72: No solution found.
Fri Dec 27 19:15:31 CET 2013: 73: finished (431ms, 95cycles)
Fri Dec 27 19:15:31 CET 2013: 73: Solution found.
Fri Dec 27 19:15:33 CET 2013: 74: finished (1896ms, 500cycles)
Fri Dec 27 19:15:33 CET 2013: 74: No solution found.
Fri Dec 27 19:15:35 CET 2013: 75: finished (1909ms, 500cycles)
Fri Dec 27 19:15:35 CET 2013: 75: No solution found.
Fri Dec 27 19:15:37 CET 2013: 76: finished (1951ms, 500cycles)
Fri Dec 27 19:15:37 CET 2013: 76: No solution found.
Fri Dec 27 19:15:39 CET 2013: 77: finished (1864ms, 500cycles)
Fri Dec 27 19:15:39 CET 2013: 77: No solution found.
Fri Dec 27 19:15:41 CET 2013: 78: finished (1890ms, 500cycles)
Fri Dec 27 19:15:41 CET 2013: 78: No solution found.
Fri Dec 27 19:15:43 CET 2013: 79: finished (2552ms, 500cycles)
Fri Dec 27 19:15:43 CET 2013: 79: No solution found.
Fri Dec 27 19:15:45 CET 2013: 80: finished (1891ms, 500cycles)
Fri Dec 27 19:15:45 CET 2013: 80: No solution found.
Fri Dec 27 19:15:47 CET 2013: 81: finished (1829ms, 500cycles)
Fri Dec 27 19:15:47 CET 2013: 81: No solution found.
Fri Dec 27 19:15:47 CET 2013: 82: finished (268ms, 64cycles)
Fri Dec 27 19:15:47 CET 2013: 82: Solution found.
Fri Dec 27 19:15:48 CET 2013: 83: finished (447ms, 119cycles)
Fri Dec 27 19:15:48 CET 2013: 83: Solution found.
Fri Dec 27 19:15:50 CET 2013: 84: finished (1880ms, 500cycles)
Fri Dec 27 19:15:50 CET 2013: 84: No solution found.
Fri Dec 27 19:15:54 CET 2013: 85: finished (4663ms, 500cycles)
Fri Dec 27 19:15:54 CET 2013: 85: No solution found.
Fri Dec 27 19:15:57 CET 2013: 86: finished (2879ms, 476cycles)
Fri Dec 27 19:15:57 CET 2013: 86: Solution found.
Fri Dec 27 19:15:59 CET 2013: 87: finished (1831ms, 500cycles)
Fri Dec 27 19:15:59 CET 2013: 87: No solution found.
Fri Dec 27 19:16:01 CET 2013: 88: finished (1779ms, 500cycles)
Fri Dec 27 19:16:01 CET 2013: 88: No solution found.
Fri Dec 27 19:16:04 CET 2013: 89: finished (2636ms, 500cycles)
Fri Dec 27 19:16:04 CET 2013: 89: No solution found.
Fri Dec 27 19:16:05 CET 2013: 90: finished (1949ms, 500cycles)
Fri Dec 27 19:16:05 CET 2013: 90: No solution found.
Fri Dec 27 19:16:08 CET 2013: 91: finished (2670ms, 500cycles)
Fri Dec 27 19:16:08 CET 2013: 91: No solution found.
Fri Dec 27 19:16:08 CET 2013: 92: finished (309ms, 70cycles)
Fri Dec 27 19:16:08 CET 2013: 92: Solution found.
Fri Dec 27 19:16:10 CET 2013: 93: finished (1917ms, 500cycles)
Fri Dec 27 19:16:10 CET 2013: 93: No solution found.
Fri Dec 27 19:16:11 CET 2013: 94: finished (187ms, 50cycles)
Fri Dec 27 19:16:11 CET 2013: 94: Solution found.
Fri Dec 27 19:16:12 CET 2013: 95: finished (1710ms, 500cycles)
Fri Dec 27 19:16:12 CET 2013: 95: No solution found.
Fri Dec 27 19:16:15 CET 2013: 96: finished (2582ms, 500cycles)
Fri Dec 27 19:16:15 CET 2013: 96: No solution found.
Fri Dec 27 19:16:15 CET 2013: 97: finished (108ms, 29cycles)
Fri Dec 27 19:16:15 CET 2013: 97: Solution found.
Fri Dec 27 19:16:17 CET 2013: 98: finished (1863ms, 500cycles)
Fri Dec 27 19:16:17 CET 2013: 98: No solution found.
Fri Dec 27 19:16:19 CET 2013: 99: finished (1956ms, 500cycles)
Fri Dec 27 19:16:19 CET 2013: 99: No solution found.
Fri Dec 27 19:16:19 CET 2013: Solution Found: 18
Fri Dec 27 19:16:19 CET 2013: Avg cycles: 97
Fri Dec 27 19:16:19 CET 2013: Max cycles: 476
Fri Dec 27 19:16:19 CET 2013: Min cycles: 21
Fri Dec 27 19:16:19 CET 2013: No solution found: 82
Fri Dec 27 19:16:19 CET 2013: logging finished. (runtime: 175485ms)
