Sat Dec 28 14:08:51 CET 2013: 80: finished (14547ms, 1000cycles)
Sat Dec 28 14:08:51 CET 2013: 80: No solution found.
Sat Dec 28 14:09:02 CET 2013: 81: finished (10968ms, 1000cycles)
Sat Dec 28 14:09:02 CET 2013: 81: No solution found.
Sat Dec 28 14:09:12 CET 2013: 82: finished (10911ms, 1000cycles)
Sat Dec 28 14:09:12 CET 2013: 82: No solution found.
Sat Dec 28 14:09:24 CET 2013: 83: finished (11224ms, 1000cycles)
Sat Dec 28 14:09:24 CET 2013: 83: No solution found.
Sat Dec 28 14:09:35 CET 2013: 84: finished (11704ms, 1000cycles)
Sat Dec 28 14:09:35 CET 2013: 84: No solution found.
Sat Dec 28 14:09:50 CET 2013: 85: finished (15020ms, 1000cycles)
Sat Dec 28 14:09:50 CET 2013: 85: No solution found.
Sat Dec 28 14:10:01 CET 2013: 86: finished (10843ms, 1000cycles)
Sat Dec 28 14:10:01 CET 2013: 86: No solution found.
Sat Dec 28 14:10:15 CET 2013: 87: finished (13647ms, 1000cycles)
Sat Dec 28 14:10:15 CET 2013: 87: No solution found.
Sat Dec 28 14:10:16 CET 2013: 88: finished (1219ms, 100cycles)
Sat Dec 28 14:10:16 CET 2013: 88: Solution found.
Sat Dec 28 14:10:28 CET 2013: 89: finished (11534ms, 1000cycles)
Sat Dec 28 14:10:28 CET 2013: 89: No solution found.
Sat Dec 28 14:10:39 CET 2013: 90: finished (11328ms, 1000cycles)
Sat Dec 28 14:10:39 CET 2013: 90: No solution found.
Sat Dec 28 14:10:50 CET 2013: 91: finished (11356ms, 1000cycles)
Sat Dec 28 14:10:50 CET 2013: 91: No solution found.
Sat Dec 28 14:11:04 CET 2013: 92: finished (13911ms, 1000cycles)
Sat Dec 28 14:11:04 CET 2013: 92: No solution found.
Sat Dec 28 14:11:16 CET 2013: 93: finished (11564ms, 1000cycles)
Sat Dec 28 14:11:16 CET 2013: 93: No solution found.
Sat Dec 28 14:11:30 CET 2013: 94: finished (14139ms, 1000cycles)
Sat Dec 28 14:11:30 CET 2013: 94: No solution found.
Sat Dec 28 14:11:30 CET 2013: 95: finished (269ms, 21cycles)
Sat Dec 28 14:11:30 CET 2013: 95: Solution found.
Sat Dec 28 14:11:31 CET 2013: 96: finished (484ms, 40cycles)
Sat Dec 28 14:11:31 CET 2013: 96: Solution found.
Sat Dec 28 14:11:42 CET 2013: 97: finished (10895ms, 1000cycles)
Sat Dec 28 14:11:42 CET 2013: 97: No solution found.
Sat Dec 28 14:11:56 CET 2013: 98: finished (14248ms, 1000cycles)
Sat Dec 28 14:11:56 CET 2013: 98: No solution found.
Sat Dec 28 14:12:07 CET 2013: 99: finished (11494ms, 1000cycles)
Sat Dec 28 14:12:07 CET 2013: 99: No solution found.
Sat Dec 28 14:12:07 CET 2013: Solution Found: 10 (Avg: 175)
Sat Dec 28 14:12:07 CET 2013: Max cycles: 712
Sat Dec 28 14:12:07 CET 2013: Min cycles: 21
Sat Dec 28 14:12:07 CET 2013: No solution found: 90
Sat Dec 28 14:12:07 CET 2013: logging finished. (runtime: 1116174ms)
